Latitude,Longitude,Test Elevation (ft),SPTN
47.51021973,-122.3920777,134.25,48.0
47.51021973,-122.3920777,132.75,46.0
47.51021973,-122.3920777,131.25,68.0
47.51021973,-122.3920777,129.75,107.0
47.51021973,-122.3920777,128.25,145.0
47.51020675,-122.3920327,140.25,41.0
47.51020675,-122.3920327,138.75,78.0
47.51020675,-122.3920327,137.25,42.0
47.51020675,-122.3920327,135.75,38.0
47.51020675,-122.3920327,134.25,39.0
47.51020675,-122.3920327,132.75,72.0
47.51020675,-122.3920327,131.25,119.0
47.55968967,-122.3839953,307.9,3.0
47.55968967,-122.3839953,302.9,23.0
47.55968967,-122.3839953,297.9,67.0
47.55968967,-122.3839953,292.9,28.0
47.55968967,-122.3839953,287.9,27.0
47.55968967,-122.3839953,282.9,51.0
47.55968967,-122.3839953,277.9,66.0
47.55968967,-122.3839953,272.9,66.0
47.56047731,-122.3839543,298.6,74.0
47.56047731,-122.3839543,283.6,54.0
47.56047731,-122.3839543,278.6,71.0
47.56047731,-122.3839543,268.6,80.0
47.55979181,-122.3836141,285.7,16.0
47.55979181,-122.3836141,280.7,59.0
47.56003804,-122.3839874,301.0,15.0
47.56003804,-122.3839874,291.0,46.0
47.56003804,-122.3839874,286.0,28.0
47.56003804,-122.3839874,281.0,58.0
47.56003804,-122.3839874,276.0,62.0
47.56003804,-122.3839874,271.0,72.0
47.50293952,-122.3817477,205.2,2.0
47.50293952,-122.3817477,200.2,22.0
47.50293952,-122.3817477,195.2,25.0
47.50293952,-122.3817477,190.2,38.0
47.50293952,-122.3817477,185.2,54.0
47.52752314,-122.3851158,365.8,50.0
47.52752314,-122.3851158,360.8,50.0
47.52752314,-122.3851158,355.8,37.0
47.58155577,-122.3844513,320.0,82.0
47.58155577,-122.3844513,290.0,61.0
47.56063378,-122.3851306,312.8,29.0
47.56063378,-122.3851306,302.8,49.0
47.56063378,-122.3851306,299.8,35.0
47.56063378,-122.3851306,297.8,46.0
47.56063378,-122.3851306,292.8,55.0
47.56063378,-122.3851306,287.8,38.0
47.56063378,-122.3851306,282.8,34.0
47.56063378,-122.3851306,277.8,45.0
47.55952384,-122.384585,327.1,27.0
47.55952384,-122.384585,307.1,91.0
47.55952384,-122.384585,302.1,56.0
47.56061222,-122.384429,302.3,2.0
47.56061222,-122.384429,296.8,22.0
47.56061222,-122.384429,291.8,79.0
47.56061222,-122.384429,286.8,63.0
47.56061222,-122.384429,281.8,53.0
47.56061222,-122.384429,276.8,34.0
47.56061222,-122.384429,271.8,39.0
47.55951075,-122.3852246,327.7,56.0
47.55951075,-122.3852246,322.7,50.0
47.55951075,-122.3852246,317.7,64.0
47.55951075,-122.3852246,312.7,54.0
47.55951075,-122.3852246,307.7,49.0
47.52775955,-122.3859258,345.2,17.0
47.52775955,-122.3859258,340.2,59.0
47.52775955,-122.3859258,330.2,91.0
47.56141059,-122.383894,294.2,19.0
47.56141059,-122.383894,291.7,15.0
47.56141059,-122.383894,289.2,29.0
47.56141059,-122.383894,284.2,33.0
