Latitude,Longitude,Midpoint Elevation (ft),Lithology
47.52293418,-122.3852008,185.6,Sand
47.52293418,-122.3852008,181.6,Sand
47.52302651,-122.3852567,189.9,Fill
47.52302651,-122.3852567,182.4,Sand
47.52302651,-122.3852567,177.4,Sand
47.52302651,-122.3852567,172.4,Sandy silt
47.5880526,-122.3938692,143.1,Silty sand
47.5880526,-122.3938692,128.6,Sand
47.5880526,-122.3938692,99.1,Silty clay
47.5880526,-122.3938692,74.6,Sand
47.5880526,-122.3938692,63.599999999999994,Topsoil / vegetation
47.5880526,-122.3938692,57.599999999999994,Sand
47.58956732,-122.3922814,114.1,Sand
47.58956732,-122.3922814,95.6,Silty clay
47.58956732,-122.3922814,89.6,Silty sand
47.58956732,-122.3922814,81.6,Silty clay
47.58956732,-122.3922814,70.6,Topsoil / vegetation
47.58956732,-122.3922814,56.099999999999994,Sand
47.58956732,-122.3922814,45.599999999999994,Topsoil / vegetation
47.58956732,-122.3922814,34.599999999999994,Topsoil / vegetation
47.58805307,-122.3928276,184.3,Sand
47.58805307,-122.3928276,147.8,Silty clay
47.56901276,-122.4075893,103.44999989850001,Sand
47.56901276,-122.4075893,92.34999990450001,Silty clay
47.56915642,-122.4076917,98.400000095,Sand
47.56915642,-122.4076917,90.650000095,Clayey silt
47.56915642,-122.4076917,84.25,Silty sand
47.56915642,-122.4076917,77.75,Silty sand
47.56926758,-122.4077686,96.949999988,Gravel
47.56926758,-122.4077686,89.849999786,Sand
47.56926758,-122.4077686,79.04999971500001,Silty sand
47.58607881,-122.3787585,24.05,Sand
47.58607881,-122.3787585,12.3,Silt
47.58625225,-122.378716,15.899999999999999,Sand
47.58625225,-122.378716,7.3999999999999995,Silt
47.58776873,-122.3843141,217.1,Sand
47.5879992,-122.3841358,228.1,Silty sand
47.58765103,-122.3841316,205.9,Silty sand
47.58786806,-122.3839366,190.55,Silty sand
47.52462526,-122.3930252,26.950000000000003,Silty sand
47.52457501,-122.3930801,27.75,Silty sand
47.52460925,-122.3931663,23.15,Silty sand
47.53915516,-122.3954232,129.4,Clayey sand
47.53915516,-122.3954232,122.4,Sandy clay
47.53915516,-122.3954232,100.9,Gravelly sand
47.58414347,-122.3807654,133.95,Silty sand
47.58414347,-122.3807654,120.94999999999999,Silt
47.58425551,-122.3806194,132.275,Sandy silt
47.58425551,-122.3806194,123.4,Sand
47.58425551,-122.3806194,111.9,Silt
47.54185383,-122.396576,23.8,Fill
47.54185383,-122.396576,15.55,Silt
47.54185439,-122.3967096,12.85,Silt
47.54190152,-122.397015,12.8999999525,Silt
47.54190152,-122.397015,8.3000000475,Silty sand
47.54170186,-122.3969837,11.449999998500001,Silt
47.54407541,-122.3982303,12.950000024,Fill
47.54413471,-122.397957,17.4,Fill
47.54413471,-122.397957,11.899999999999999,Gravelly sand
47.54383489,-122.397509,25.1,Fill
47.54383489,-122.397509,14.850000000000001,Silty sand
47.5560568,-122.399507,35.25,Fill
47.5560568,-122.399507,32.0,Sandy silt
47.5560568,-122.399507,28.5,Silty sand
47.5560568,-122.399507,23.0,Silty clay
47.55614505,-122.3993076,56.7499999995,Clayey silt
47.55614505,-122.3993076,50.8,Silty sand
47.55614505,-122.3993076,45.55,Silty clay
47.55636568,-122.3995666,41.2,Silty sand
47.55636568,-122.3995666,31.200000000000003,Silty clay
47.55636568,-122.3995666,21.700000000000003,Silty clay
47.55640362,-122.3994261,45.7,Silty clay
47.55640362,-122.3994261,40.7,Sandy silt
47.55640362,-122.3994261,36.2,Silty clay
47.55640362,-122.3994261,29.200000000000003,Silty clay
47.56639877,-122.409311,8.95,Fill
47.55745858,-122.4008166,20.3499999995,Gravelly sand
47.55745858,-122.4008166,9.649999999999999,Silty clay
47.55730142,-122.4000292,31.149999999500004,Silty clay
47.55730142,-122.4000292,21.700000000000003,Silty clay
47.55753634,-122.4002523,27.999999999499998,Silty clay
47.55753634,-122.4002523,22.3,Silty clay
47.55451206,-122.3980505,64.35,Clayey silt
47.54113707,-122.3865116,230.1499999525,Sand
47.54113707,-122.3865116,222.1499999525,Sand
47.54113707,-122.3865116,209.35,Gravelly sand
47.54113707,-122.3865116,198.35,Sandy gravel
47.54084409,-122.3864851,245.1,Fill
47.54084409,-122.3864851,234.6,Sand
47.54084409,-122.3864851,224.1,Sand
47.5413089,-122.3870765,218.0,Sand
47.5413089,-122.3870765,211.0,Sand
47.54091086,-122.387103,212.9,Gravelly sand
47.5463764,-122.3865631,231.6,Fill
47.5463764,-122.3865631,225.6,Fill
47.5463764,-122.3865631,217.1,Fill
47.5463764,-122.3865631,208.35,Sand
47.54638805,-122.3868591,231.3499999995,Fill
47.54638805,-122.3868591,223.4,Fill
47.54638805,-122.3868591,215.9,Sand
47.54638805,-122.3868591,209.15,Sand
47.54605856,-122.3865478,226.4,Fill
47.54605856,-122.3865478,212.9,Sand
47.54605856,-122.3865478,203.9,Sand
47.54605856,-122.3865478,197.15,Sand
47.54604255,-122.3868591,230.4,Fill
47.54604255,-122.3868591,220.4,Fill
47.54604255,-122.3868591,209.4,Fill
47.54604255,-122.3868591,203.9,Sand
47.54604255,-122.3868591,199.9,Sand
47.55738263,-122.3874422,294.85,Sand
47.55714077,-122.3871379,298.6,Sand
47.55943606,-122.3874662,308.4,Fill
47.55943606,-122.3874662,302.4,Silty clay
47.55943606,-122.3874662,295.4,Silty clay
47.5594745,-122.3874635,305.1,Clayey silt
47.5594745,-122.3874635,299.35,Clayey silt
47.55962643,-122.3879023,301.74999999399995,Sand
47.55956066,-122.3879,305.449999994,Silty sand
47.55956066,-122.3879,299.85,Silty sand
47.5582968,-122.3873773,302.8,Silty sand
