Borehole ID,Latitude,Longitude,Elevation (ft),In-situ Test #,Test Elevation (ft),SPTN,Layer #,Layer Top Elevation (ft),Layer Bottom Elevation (ft),Soil Description,Lithology,USCS,Density / Consistency
78,47.54045329,-122.3889415,205.5,5,182.5,50.0,6,185.5,176.0,"Sand; gray brown, fine to medium, trace silt and gravel, with occasional laminations of sandy silt, very dense, very moist.",Sand,SW,Dense
78,47.54045329,-122.3889415,205.5,6,177.5,69.0,6,185.5,176.0,"Sand; gray brown, fine to medium, trace silt and gravel, with occasional laminations of sandy silt, very dense, very moist.",Sand,SW,Very Dense
79,47.54022712,-122.3890226,205.8,1,202.8,2.0,2,205.699999999,199.8,"Silty sand with gravel; brown, fine to medium, trace organics, loose, moist.",Fill,Fill,
79,47.54022712,-122.3890226,205.8,3,192.8,88.0,3,199.8,189.8,"Sand; gray brown, fine to coarse, little silt and gravel, very dense, wet.",Sand,SW,Very Dense
79,47.54022712,-122.3890226,205.8,4,187.8,58.0,4,189.8,186.8,"Sand with gravel; gray, fine to coarse sand, fine gravel, very dense, wet.",Sand,SW,Very Dense
79,47.54022712,-122.3890226,205.8,5,182.8,58.0,5,186.8,168.8,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",Sand,SW,Very Dense
79,47.54022712,-122.3890226,205.8,6,177.8,55.0,5,186.8,168.8,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",Sand,SW,Very Dense
79,47.54022712,-122.3890226,205.8,7,172.8,45.0,5,186.8,168.8,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",Sand,SW,Dense
79,47.54022712,-122.3890226,205.8,8,167.8,38.0,6,168.8,166.3,"Sand; gray, fine to coarse, trace fine gravel, thinly bedded with fine to medium sand, dense, wet.",Sand,SC,Dense
80,47.5400681,-122.389021,204.2,1,201.2,17.0,2,204.09999999899998,198.2,"Sand; brown, fine to coarse, little silt and gravel, loose, slightly moist.",Fill,Fill,
80,47.5400681,-122.389021,204.2,2,196.2,44.0,4,196.2,193.2,"Silty sand with gravel; gray brown, fine to coarse sand, fine gravel, dense, moist.",Silty sand,SM,Dense
80,47.5400681,-122.389021,204.2,3,191.2,44.0,5,193.2,187.2,"Sand; gray, fine to coarse, trace silt and gravel, thinly bedded with silty sand, dense, wet.",Sand,SM,Dense
80,47.5400681,-122.389021,204.2,4,186.2,56.0,6,187.2,185.2,"Sand; gray, fine to coarse, trace gravel and silt, very dense, wet.",Sand,SW,Very Dense
80,47.5400681,-122.389021,204.2,6,176.2,69.0,9,179.2,174.7,"Sand; gray brown, fine to coarse, trace and gravel, very dense, moist.",Sand,SW,Very Dense
90,47.54471091,-122.3859494,236.7,1,235.7,29.0,2,235.899999988,232.2,"Gray sand with silt, scattered gravel, with seams of silt to sandy silt, moist to wet, dense.",Sand,SM,Dense
90,47.54471091,-122.3859494,236.7,2,234.2,38.0,2,235.899999988,232.2,"Gray sand with silt, scattered gravel, with seams of silt to sandy silt, moist to wet, dense.",Sand,SM,Dense
90,47.54471091,-122.3859494,236.7,3,231.7,82.0,3,232.2,229.7,"Gray-brown, silty sand with gravel, fine sand, moist, very dense.",Silty sand,SM,Very Dense
90,47.54471091,-122.3859494,236.7,4,229.2,43.0,4,229.7,216.7,"Gray-brown, silty sand, fine to medium, few to scattered gravel, transitions to less silty with depth, very moist to wet, dense to very dense.",Silty sand,SM,Dense
90,47.54471091,-122.3859494,236.7,5,224.2,41.0,4,229.7,216.7,"Gray-brown, silty sand, fine to medium, few to scattered gravel, transitions to less silty with depth, very moist to wet, dense to very dense.",Silty sand,SM,Dense
90,47.54471091,-122.3859494,236.7,6,219.7,57.0,4,229.7,216.7,"Gray-brown, silty sand, fine to medium, few to scattered gravel, transitions to less silty with depth, very moist to wet, dense to very dense.",Silty sand,SM,Very Dense
90,47.54471091,-122.3859494,236.7,7,214.2,71.0,5,216.7,210.7,"Gray-brown to gray sand with silt, fine to medium, scattered gravel, wet, very dense.",Sand,SW,Very Dense
90,47.54471091,-122.3859494,236.7,8,211.7,69.0,5,216.7,210.7,"Gray-brown to gray sand with silt, fine to medium, scattered gravel, wet, very dense.",Sand,SW,Very Dense
91,47.54454749,-122.3863891,230.0,1,229.0,21.0,2,229.0,228.200000048,"Gray silt, root traces, very moist. stiff.",Silt,ML,Very stiff
91,47.54454749,-122.3863891,230.0,2,227.5,31.0,3,228.200000048,227.400000095,"Gray sand with silt, very moist to wet, medium dense.",Sand,SW,Dense
91,47.54454749,-122.3863891,230.0,3,223.0,34.0,4,227.400000095,222.0,"Gray silty sand, fine to medium, trace to little gravel, very moist to wet, dense.",Silty sand,SM,Dense
91,47.54454749,-122.3863891,230.0,4,217.5,86.0,5,222.0,206.5,"Gray sand with silt, fine to medium, scattered large gravel, wet, occasional seams of silty sand, very dense.",Sand,SM,Very Dense
91,47.54454749,-122.3863891,230.0,5,207.5,86.0,5,222.0,206.5,"Gray sand with silt, fine to medium, scattered large gravel, wet, occasional seams of silty sand, very dense.",Sand,SM,Very Dense
92,47.54420898,-122.3862962,229.8,1,228.8,5.0,2,228.8,226.8,"Black peat, silt with large pieces of wood, very moist, soft.",Peat,PT,Medium Stiff
92,47.54420898,-122.3862962,229.8,2,227.3,31.0,2,228.8,226.8,"Black peat, silt with large pieces of wood, very moist, soft.",Peat,PT,Hard
